variable,project_id,RCM,domain,frequency,GCM,experiment_id,period_start,period_end,n_files,path2files
vas,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:00:00,2100-12-31 23:00:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
sfcWind,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:00:00,2100-12-31 23:00:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
rlds,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:30:00,2100-12-31 23:30:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
prw,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:00:00,2100-12-31 23:00:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
uas,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:00:00,2100-12-31 23:00:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
tas,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:00:00,2100-12-31 23:00:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
clt,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:30:00,2100-12-31 23:30:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
rsds,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:30:00,2100-12-31 23:30:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
rlut,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:30:00,2100-12-31 23:30:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
hurs,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:00:00,2100-12-31 23:00:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
psl,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:00:00,2100-12-31 23:00:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
pr,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:30:00,2100-12-31 23:30:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
huss,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:00:00,2100-12-31 23:00:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
evspsbl,CORDEX,WRF451Q,EUR-12,1hr,NorESM2-MM,ssp126,2012-07-01 00:30:00,2100-12-31 23:30:00,89,/gpfs/projects/meteo/WORK/ASNA/projects/euro-cordex/01_EUR12_NorESM2_ssp126/data/postprocessed/CORDEX/
